wallet_address,chain
0xf343e409f07d21d7710a680d9ee07e8ff609d60b,FTM
0x9112790248638d4bc4a7686f15fcdcbe4ae97430,FTM
0x8016ad7a57fd087679c57e766d0cc896bf43615d,FTM
0x5f475f1641a9c34fa5c2dde5499fbfdd4f488b94,FTM
0xcf715d1aa94092a8430af1ad186f08a38488d8f6,FTM
0xc711e2978336c32f3c123a22c2060a3f7a3f1b38,FTM
0xef6a22af4f9e13bfdea28f10a1cac1ab96387dc7,FTM
0x83469a933f4d82ffcc9cd2284de816a6a9f68433,FTM
0xa7c0e474a9f3207db3f7ed86c994e2c8f144dbb1,FTM
0x1c93bda3bef1e486ff31c745278fc3dd0aadd6cc,FTM
0xde4fd702d487f2256b79f6b8f129a5ec5999c916,FTM
0x9a3ce880470cbd7f3e00e4c1c4ce0854652e0819,FTM
0x89c09f938807837cade465230e2e6cd0c7357ba2,FTM
0xd645e1cbf208f0a930572e0457826137089be5c6,FTM
0x10b47d0100f0493d811f4aeb443f98875a0487cf,FTM
0xb158bf20f239f85f1844bd3d8b7f2a5c6bdc60d0,FTM
0xcd07799e9e01c02c3b569cd42f3729713639081c,FTM
0xf43d73fb2f52fe530af3af2a6fe1a84e285b1d34,FTM
0xb2c273e52addecbb21183641862a38f09a9ca439,FTM
0xfd24dcff12d8cac0a33188cef7d4c5386bf1435c,FTM
0x16f53d797690fd9a3ee0679c27f4ed7cabdc7ba6,FTM
0x2cd170d34740d2356c464f6bffec1d727a6c96e5,FTM
0x97db0e57b1c315a08cc889ed405adb100d7f137d,FTM
0xde9939e9c22c084f9d0d1d58b7640d6aa9503340,FTM
0x77a6b981f8be856e1670be732df657350d8ff0e3,FTM
0x67849b3c4bda69136d66e14249d45d0dcfd259eb,FTM
0xeab8e50f305c3b97aa5eb818e09a59124c357b91,FTM
0x571ebd4c979f1725593bfb129a24d595d6adfc23,FTM
0x983bb5984ec6a8d680533ee8e25851a118b53030,FTM
0x2c85610b99c549b9c877bd86efa3898860d5d40a,FTM
0x69cd1c2e13113c09a22ff98cbd2db3f682f716b4,FTM
0x541e0a80700e60c69aec3f75f033be9d39259587,FTM
0x36c5a9e00824c25be4546d578ca993f8e3a397c6,FTM
0xa85cb2c338e1c68fec08ac1947818ed42ed78bcd,FTM
0xd9b2c2dd6d17b17963c299849b1ca794a4b13ce0,FTM
0x44323bce5baa98d836418d3788611dac6795a64f,FTM
0x88889388076d86200f112fa1de9b7c3786c91b3e,FTM
0x0cecac27c62f9a1972b3b3f03906667c84379ae3,FTM
0x6ffbb6c376d0cf590289671d652ae92213614828,FTM
0xc79745b59e383c22eca43514829f3f1119c9ae32,FTM
0x5b3067c5e26fec823d6fbf8f315e43632658d2f6,FTM
0x697ae801bbf2c9ceaaa1b2533aa0c75e13e5e2d5,FTM
0xf42889ad9d752ef73659a092fc12104383df5691,FTM
0xec8e3a07d6c5c172e821588ef1749b739a06b20e,FTM
0xf2455a4c6fcc6f41f59222f4244afddc85ff1ed7,FTM
0x8e7342ed62b5ef92cbc833307793f3ae279d5769,FTM
0xd6fd705ee0b31a9300d3e2154bcce777270cbb6f,FTM
0x6854963236110fc2e655f6d61162faf8dda7c2ee,FTM
0x3c4b7d97a8d4db24f5a9df409ccb04b89786f8e9,FTM
0x5f4d787692b0ab325df37e0b999c452d4561a8e6,FTM
0xa14d5e3cb21edab70b9813aa3382c779a4ae9e2c,FTM
0x7318c5252e06a09db4953702119e226bf9845c16,FTM
0xa1f67ce53b5225cf0bb69127daeaa828b56a2c69,FTM
0x2f1cd6f1a3e9ffbf00e280c593adf266f64e8b36,FTM
0x6776b04c0660f0460a8e09da457fbf819c77dc07,FTM
0xc74e6cdd6974e71b76e8a663be2d2c23530462b7,FTM
0xa5b5b85f0c5209998be7aa72e17f0ae289bc71ba,FTM
0x7a0d3f9996a9a85f43a8a8bed786b26065bab71e,FTM
0x684c40a9e5fc750184cc491738d70397af59ba41,FTM
0x997319bf7b46b1ad1c2acc3d85adb4f46f28b50d,FTM
0xe44cd9abc71ba30e20ef0540aa9c736eeec904bc,FTM
0x1b3d22013215da53e49f14e9b21ebc391ce50f2d,FTM
0xea83db692d8881b1e4b924135eff519e1f31eedf,FTM
0xb92246136f049607423b4c986302d407aef91a17,FTM
0x5f20d84dbfce7d9bd5b43dd22e650e1ef017c011,FTM
0xadffc760edf4f6146dce89022b5ae7ebb7edd2b9,FTM
0xc58fe576c6b983431a2c75ba6a5f3631d7c6fb84,FTM
0x9a483103327b3b0814abcbf61c4860c48fd84f07,FTM
0x3dc56e85283ca780d5fbda7337b6bc98a5e4f22f,FTM
0x17451598bf282da2367e3fd1823f871f4b42b9f9,FTM
0x4cac5d5403996df53c3b2ff5058415665db2ff18,FTM
0x25367c74ec6967a3a05cd08a45efe15e58b7146b,FTM
0x820df4f7b96ebcc0aa7bfb3ab6f88372d89af4bd,FTM
0xd04ffbb33f89d60c08ba9a6918292fda4d2c122d,FTM
0x8e4084923d6b059f96904ba7d55b85d5d4825e4c,FTM
0x6d8c3e6a088c7a694d4e11b781519ddec1a6be46,FTM
0x48f3e839ee4f52fef9b433f2429c5819028d56d8,FTM
0x39b3913c1c279c2cfc964ac8061f4797826d6429,FTM
0x51256ef00c2485f3a40fe1b6e4e779147bcdbb58,FTM
0x966d3867ed55092a1cf8df921f938061b6d64bd2,FTM
0x69aa5fd631d09e4ed49ecad16545960ccc654213,FTM
0x3a39899dc78b7307acd83f51463c853fa79e1b09,FTM
0x8c01b3606761b2aa382afbc7fe4f9b1335fe0860,FTM
0x53991fc4222034093f8f87dc0d4d1f5589e6142d,FTM
0xb74091a5c0073f64f7b5246fd73715b9730581f6,FTM
0x7d400f6ba832a18181ce4b93b159ea19f92cbf92,FTM
0x5743538c08eeae92b99e347d8a17093945a6cfb7,FTM
0x5fe3ec32a07687f23a7b7bb37bee138981d26fd0,FTM
0xbdd87a9b51c9321955258c831ba2b2533a2600ac,FTM
0x27adfbdb9a913ffdf886b4f76eca80ab8f189bef,FTM
0x22c12fdf488369508b003805274e01660722e0da,FTM
0xd06fee44914f8047525cdc726f2b805fb409a3cd,FTM
0xebb8ee4722501358bf70559d26ef6e7b1326b3c6,FTM
0xa9e9e0414d52658515eb9db6dcdc6055396a031a,FTM
0x2df44f531f9b8cd82f181f7e3f3401e392f1b19e,FTM
0xa178682201119217d88cdee77d8651e6b82075a5,FTM
0x6116c3ae4e831673ba7d784d0f7f793b37763f21,FTM
0x0ca78ed9f48dfc2dbbff9e1d55227e52359776f0,FTM
0x5aa16507384b04022b5921dc56df8673f0c7d95d,FTM
0x48460972346896dff5f9915548d44f2f9ddc53e1,FTM
0x4193f43f80c71c616f3680a4ad5fafc4f98844c7,FTM
0x703bbab0162d68a0c0a9378946caaced668ba391,FTM
0xebe90ce0eadf76bf484d1853fbbff8dd6207804a,FTM
0x304b3d778ada6d14387dba400d48ec5bb9eb689b,FTM
0x9cf40f5fb40626e3b242049da8c7e013c0cddc19,FTM
0xce7a1cc4854fc75827f3bde220d6e4f5406c481a,FTM
0x627f7344e024b2fb7a1b77e4a8c08de155e74b55,FTM
0x9950dd62617f6123551aa61de4a31a0dee02a4e9,FTM
0xd8d21758e66603996f4cbb149a05334b33b2cf41,FTM
0xd0fe107caf81614a0435a6ec9c9c40b3e63f9b66,FTM
0x7667c10dfd017ebcd0a79694fe1066b237619224,FTM
0xf0e316d8be1f0d9fa8847374ed27b6e4ff49dc33,FTM
0x89b72211ef49f1c69d0f7852062a1ad73e022246,FTM
0xa049afef83d112f9b9ac4e9d743c50ad08ebee01,FTM
0xd511af7e71a290aaef9e9d4bc1e168e2293fa2c4,FTM
0xe6264713706aa84e0fbdb784099a63309371a2de,FTM
0xd671c9e0c1e7d6db43402feb02870f5d2c3373a7,FTM
0x238643d4106c7c6206f8dc31acb59cd24c979d12,FTM
0xf970afdd3ca73c2bcfc622ff4eda00dc7ac85a87,FTM
0x60bcb4216d05c5990483b4b68e362426c222f453,FTM
0xdca78971f8846cae4cb363e0e1ae42d30e5bf910,FTM
0x3743036e2b02a28d686201adf90843c83aede226,FTM
0x90e3d7f20731d7ddce2be144ff9b71c5a8af91f5,FTM
0x8b4441e79151e3fc5264733a3c5da4ff8eac16c1,FTM
0xcfb2e2a64e47b8638e6786591c57546690050982,FTM
0x0302f3434dbdee9d3faf680cba8a2bae6b34a83c,FTM
0x21d7e1aae9b41403ecb750cf6fb3e2a853957507,FTM
0x2d94dc4d69db8ecda720406c118702c0719b4345,FTM
0x72e5f1b2d0a85c2c05a90b102b8e54b66ce3f022,FTM
0x742d9cf9f8998318282362f3330e2735ffa60db1,FTM
0xfc134e77ef0af746851d8a8c8c92ea2f0fc7f775,FTM
0xbbfbff2fea1950d404742deb24ece126f3796506,FTM
0x0ff6e1e68413d2407fa6161ac4db8f21f4d3ad41,FTM
0x1e9427fc075dce47a5f15cfe7f6e00d91a528d6c,FTM
0x4a35d869d28da18eae3f10d6059c343d9e944748,FTM
0x4fb7fb77370baf33d7f2682a8bfba1b8126dd66f,FTM
0x5ca642d0138f8fa36f4ec6311190825392246ada,FTM
0x9accf4f36252a555e914f64adc53ef8d623e80b0,FTM
0xaea7cc29b5219affddaf57d8e992d168d5e283ef,FTM
0xd608fb109124da6d3e8eca45d789ecaf8641ea77,FTM
0xfd037cdc23e380a87dd549e7868a64c1dbcfb6af,FTM
0xb6b6efc0c8ebb65efe2c1a8a3135709449f38d39,FTM
0x7a44ff28001f55d456f8bbf6e0bd5b2a3bdd200c,FTM
0x543ee6e6ec9ea35d8a7fc2d6e0856456915b086a,FTM
0x015cdff2e472f657e8c34b4e88fc60f16f7610ad,FTM
0x01a66607e2f13f89c1af094e7bac50082f094686,FTM
0x55a836ad1fd8361c5d05afc9afa634b87c898ad3,FTM
0xc54530a3dd801c03c360d1cbe482ec502b15ff8a,FTM
0x4e880933aaa461a5fbd0d499f1e142d78f77c8ea,FTM
0x7d36dcda42632654b4d84d0120d94f92cc317e6c,FTM
0x652b4960411bf35f1e15ed7e31d1554ab441ff39,FTM
0x2c5e14645efaecbf9cff5e49acc4b422c2c3f4ab,FTM
0x61d93abebf959dab5720001d2c7b5e3ac8f4573f,FTM
0x0fc9aa8e8541a1a3a867ea3f7f3fe670d07a2adf,FTM
0xf06022c428026612e1e397be75052f409a37b99a,FTM
0x93e5de52d6bc3b3f85f4df5e03ca6060ae8d045e,FTM
0xd93bab51cd83881ce1228650b9798ee8fc3e746c,FTM
0x8fbc89b8d9ed06f9454b8bd45277e64e1977693e,FTM
0x19a46c6913f1431efdc2164587aa6c3af01045f6,FTM
0x883ce32e186c69559e94c8ba276bfc4322fc194a,FTM
0x300a14363ccc6cca92b3ad76a429c4687a9cdd16,FTM
0x641360e9e087f032b7b50ab07403bae0d8c5000a,FTM
0x4678075005aefaff9190fe685a979bd49c5e0415,FTM
0x769162779191b0a513d0d08db6135a144906c39e,FTM
0x21dc84a11e6e86d9f6f53116625318fb51e4caf5,FTM
0x8c211f3a399fb4b4a9dd86a9c2234e195e997605,FTM
0x7e9d2fa27745a7a61b5b433d6e413496b2da9ee2,FTM
0x60f0e198c2157708a2188a19e4b86489d8549fe3,FTM
0x4367012b518fa423924e5064a4ff17c0020b70b5,FTM
0x712d80f0eeecadc6148c246e4564a2efbb59ab16,FTM
0xef6409f55fa3cc7dbe02dc7ea508f8875ed2290e,FTM
0xa04970c922cea95a6a23da3f1ce36060c3e1d867,FTM
0xe69dab397b59f52dc8b65c01533a17538a07e2dd,FTM
0x93bfc4f6dde450449389e057cfc3e8dff1340f2b,FTM
0x329b0f4597b15cd81d6f62dcf2ad6b3fe1d74d87,FTM
0x502a5ff7d4e4f4c9f01d483b5291ec62ea588a2f,FTM
0xd16bbaa1bf9c69ea4affecedaa781c847eab5ae3,FTM
0x2fab6113f9cee2ef41be84da4493114c88edd316,FTM
0x6666e1c7663e32eeae4b4ba79c6e73765aa41101,FTM
0x61f2b17549834d740bfecef619907309f0071d8b,FTM
0x31ef7d01ca25079ebce9ef86ed15d5445695b10d,FTM
0x134153216e0f6d39ab8ddbd40a17d7f2b7af9d3c,FTM
0x9abf037271376409d29960b0e2c0e7f6ac5ff983,FTM
0x3f6e4667fec54733fb3b15993b9ce96b69b65cb3,FTM
0xa7a7e108a88e137ff754306a9501e65c980a65e6,FTM
0x4936f33b7b060c7336fd0e4c61316ea248da6827,FTM
0x7e6949e70627f746f87577bbbb3bb03f89c23b4f,FTM
0xd59586b52f6f8c90c04c2b9718be7b2ac7d6cc61,FTM
0x64479bab91ec44db51008ec56e16fdaa7738bbe3,FTM
0xb903ad5eb106d271374b71c795293f610ccab299,FTM
0xb495023d8eb9526d8ec346703f2cff12f2a6963d,FTM
0x111522929a49ca9bf7c4ea634496023c43c43993,FTM
0xb4773a58bfa5eb5f1029334d5dbde2f12cd35d42,FTM
0x57513812cfa13ccf9b1e86d181c78591d233cfbc,FTM
0x38274785d72ed15af7c40685e4a54a60bbb14668,FTM
0xbf58ac110464674ca4f2bdf3c6b8dff4bdafc60c,FTM
0x0d2451c6bda8f911a090261275c76167a213691c,FTM
0x682eb500d3ebe570162468e6667f4af6bbf80604,FTM
0x3a9c81fa92136c8062cf4fc838e9032c54ad2356,FTM
0xcb70f8147f8c5bca0927ca48cd0b4cbb901095e5,FTM
0x24a6a269866e995bcff93e361b1f26312b9b23cd,FTM
0x1d378a62412b1bd6116d0db7dfe5d83410387898,FTM
0xb6b2a09afd721ad5742566fe3f02aca3a2a6017d,FTM
0x9d5f4d9c0651591784f717ff15a4b9c724553f7c,FTM
0xee2ab8410e1f7c4b75c5f7948e127e2d1424eded,FTM
0xf44c90e2207014bdd8aa8e505347ce102141ffbd,FTM
0x73ef2f1b0dbca5b4d6828195907066ce6264af3e,FTM
0x6c34b59083165285081c8405f1fdad58c59bdb40,FTM
0x282ecd101b2164743d44ca3227b0514f8dd8d4f9,FTM
0x9b8431aba258ae6ffa164365a428f43768f207e6,FTM
0xc00a6614b8030ce216302016e11c6b4140b5e499,FTM
0x2d56f14f7623fa1ab587e06a630e82daa1425631,FTM
0xf9b8dd0565b1fac5e9a142c3553f663e09444b9c,FTM
0x5a6c0ff57d4416bd1158d68ce01973a66a35dd1a,FTM
0x50e42180110746d6a5701845af1d99d60b3a2b34,FTM
0x1ab0a6362bbfd48e87dde4f74434030f839caaff,FTM
0x6ccd500694d477f4ed988186ebaeea5b8bd7a94a,FTM
0x44d2bff35beb10b6e53a4bdb16595c6b8abd2f2e,FTM
