user,pool,block,position,lpvalue
0x9546F673eF71Ff666ae66d01Fd6E7C6Dae5a9995,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2850200,0,84166.10551045819
0x9Fc9Ba827F682C19bbc9C7657a424dFE2C98eE52,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2849803,0,4.99871195
0x6696caC44ac79cD4C879AF9993C2fd2f2a76099D,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2848505,0,0.099974239
0x2B50F80DF992Fb722B254B5Cef7BB0246d890848,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2847614,0,50.0084649997689
0x2B50F80DF992Fb722B254B5Cef7BB0246d890848,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2847597,0,48.008980219768894
0xA4cdC22805e0f8813245Ca4fDcaC9E78436c2D76,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2845247,0,-9.997423902063929e-07
0xA4cdC22805e0f8813245Ca4fDcaC9E78436c2D76,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2845231,0,51.94993472887719
0xaF4d62c6d5dDFb75c2CBe56BD5015bc99Ca29510,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2843782,0,19.3539445
0xAb3D66D5ee4f91208e0aAA633cF308872F66D934,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2842286,0,0.099974239
0x08Af38938201Eb391D7090d22D2cc40CC352a812,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2840934,0,0.0
0x08Af38938201Eb391D7090d22D2cc40CC352a812,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2840927,0,0.099974239
0x6f9aab55f59E1f7f7D820d7F7034Ea769b55e20D,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2840660,0,4.99871195
0x5003d5535766Da0d082e9927F96555D7A355Ac0C,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2840156,0,0.00043588768204
0x9546F673eF71Ff666ae66d01Fd6E7C6Dae5a9995,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2837899,0,83972.56606545819
0xd9d5024ee742D5603EC433F3F90E9825967588fC,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2833226,0,0.010497265878
0x5c2309D8764BBAFC6039DCaB17CEC09630dA4792,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2831991,0,1.99948478
0x2e653DaCE0A11aFd06B1CFACC21d9fd8F0E26e03,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2828625,0,3.9990355429977464
0x2e653DaCE0A11aFd06B1CFACC21d9fd8F0E26e03,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2828565,0,6.59829977465165e-05
0x2e653DaCE0A11aFd06B1CFACC21d9fd8F0E26e03,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2828478,0,44.353537141108745
0x2e653DaCE0A11aFd06B1CFACC21d9fd8F0E26e03,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2828463,0,-6.998196724339323e-06
0x2e653DaCE0A11aFd06B1CFACC21d9fd8F0E26e03,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2828432,0,40.32074629605504
0x2e653DaCE0A11aFd06B1CFACC21d9fd8F0E26e03,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2828415,0,0.0
0x2e653DaCE0A11aFd06B1CFACC21d9fd8F0E26e03,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2828368,0,39.9896956
0xDCDE313436C5eB2985a9E5acB5f7B652b9902EF2,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2828326,0,4.998225
0x008E6d45cA503656a5dC6Ce2B00f8FB3DfE0Ba77,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2824571,0,-0.0017295543348154752
0x008E6d45cA503656a5dC6Ce2B00f8FB3DfE0Ba77,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2823289,0,4202.6307393245625
0xd9d5024ee742D5603EC433F3F90E9825967588fC,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2822047,0,0.010397291639
0xd9d5024ee742D5603EC433F3F90E9825967588fC,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2821967,0,0.0102973174
0xd9d5024ee742D5603EC433F3F90E9825967588fC,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2821420,0,0.00029989350000000003
0xd9d5024ee742D5603EC433F3F90E9825967588fC,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2821411,0,0.000199929
0x226E198190E1CDa9b34081c298366ac75ddEe744,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2816862,0,23.35555782440664
0xd9d5024ee742D5603EC433F3F90E9825967588fC,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2812185,0,9.99645e-05
0x9546F673eF71Ff666ae66d01Fd6E7C6Dae5a9995,0x6997BA833148cA964ab51E4dF889b4b2a4Fc0B0d,2805312,0,83957.08290985819
