buyer_address,buyer_shares,buyer_uint_term
0x6410Ac013379dcA759d53Defbb6649b2609686ce,36,126144000
0x7FE7ec25234827cdb82Ac676d392dA2a20f8dc6C,244,5055105
0x4969DB6C938A4c2b78403bfE56fF500e1EeB0968,19,7775999
0x92f08ac984F43c81122c137da7c7230E620faC9E,40,126144000
0x10D094BbFF45b68f0b5261dC84cC724908bDea33,30,86687999
0x20cCa7c6A8C12c4B2b5AC9f3aa119d0F8C4A6868,20,7776000
0x548b1019bE16a8f989Cd43c34C6cA9b530b9ed9D,20,7776000
0x08d6A1d7f3715f442e8e9dbe80CB6f0139c2735e,278,1146508
0xcB781Ac66D7994d76576D272cB9907C422AAc79A,20,7776000
0x302F1FB07769900683C68D441eCa43f7c107414e,42,126144000
0x915C0d335fc88055F814289214fB2fB90E58A005,20,7776000
0xb76Af3b2D258c35CcBC2384f26259618B5a4eB73,82,81064272
0x6d477834817548d0FcAcaB2A066FeF395198234a,50,126144000
0x0b339A2416872ED8B3051B8297A5D55D5Eab6f9a,275,5105454
0x2b6F1FD6069abbB76FF448eae09Db93EE9C83F78,23,10875130
0x980547Da4abC2B44C352A0B6b52878D109937B4a,20,7776000
0xDFDbF71cCae6311C1AFAD4dafC4ae60763ba4a33,40,126144000
0x7BaC16A888e14e20896b987A732667fDDfb88Fb5,21,7775999
0xDEeF587b06668fa93Cf6A6fd2e470C67fA390054,25,55123200
0x7E9d2Fa27745A7a61b5B433D6e413496B2Da9ee2,50,126144000
0x9Bc86996822381b9dC51D367A6bF088d397d9F68,24,27503996
0x05e6Ac934C1449b9416b7CF0a4d3eAc9a6D6fAD2,25,7776000
0x1563C4751Ad2be48Fd17464B73585B6ba8b6A5f0,60,105422399
0x1cF5C2489B65607b750fD5a4AfA93E7395a1a0e1,311,20787947
0x3d91ad906C3969f86C588C988F721d5a735c6f81,1260,9575306
0x0F715b8Cf8D0ee24414F47a3D174047B5613E867,22,7776000
0xE69A3208B67E8629aCEe8b4171b0df88BfB5DA86,46,126144000
0xAf2B13bdF7071208071F083572205b53776e445E,22,7776000
0x884999214c56091853765B9D4323Cf8BB9f7E699,50,126144000
0xD321B8007599a73EE9E357491179b5972830F767,23,7776000
0xe09ad0AeD1370416d60F4532696671Aa69E278A4,127,47232906
0x160A5F63C1c6B3Ea4f737f3F14603C472e44Cb92,50,126144000
0xfE372F3b71ae80cD9b14053B16bFA290E19C5503,23,7776000
0xbd803bB20a14c4B34ECC2e2C4267Ed60af1416C5,25,7776000
0x915024D3568356308c903285A579C0c64690c3c2,50,126144000
0x98c5629fF321c1fced93ac762Dd187a2eF30a9c3,24,7776000
0x3F01FA6e75f9d0477108F994400280b71915Bf56,60,126144000
0x1EB06762D2c2eBA7f902DEcfa718fB25024B5111,1430,8400735
