wallet_address,chain,grain_remaining,cdx_allocation
0x3c4b7d97A8d4dB24f5A9dF409CcB04b89786f8e9,FTM,5.61,0.431642519
0x971CDd31accFCff7f1Dcdef7B6c813279E364378,FTM,5.66,0.4354515935
0x4BD08897e21b739c7DA42Caa490f71065bfD7cdA,FTM,5.82,0.4478543007
0x703DfcD90b7003549Dd89E97D541137eCB03C4D2,FTM,5.88,0.4519753136
0x208d19d4D5d9CA3dEBde5aC6Bfb0685799d5fe1c,FTM,5.92,0.4553209883
0xBC1159Fcaa1Ac43E9A12D3F9e3FbE32B9A676701,FTM,6.20,0.4768221995
0x9b25235ee2e5564F50810E03eA5F91976A8EE6fA,ARB,7.66,0.5893391048
0x75EddC2Af3E039E09cf36f83307f620FF3265CD3,FTM,4.89,0.7528117846
0x724186d0C9AcF65bA3335573b2C81D8C9ddab282,FTM,4.96,0.763717635
0x2f1CD6f1A3e9FFbf00e280c593AdF266F64e8B36,FTM,10.13,0.7791905902
0xe637115620d7B3B464b20B8A8F6d9CfcBa486dcC,FTM,5.08,0.7811614042
0x35180070FF3e2F7A6EF468456c1FfEB81f5F28d1,OP,10.29,0.7915346962
0x5743538c08EEAE92b99e347D8A17093945a6CfB7,FTM,10.50,0.8073849539
0x423DE8a95Cd2FBda9ec638D78A9173a09B8CD674,FTM,10.65,0.8195144896
0x19aB7A108caC8530cEd8aa04aF52AD78C1BEd7F3,FTM,11.06,0.8504558948
0x228Baf69CDd1290D98D9590e772Cbd7f1F75Ff66,FTM,5.65,0.8695620057
0x0f4dAA365a72c5b134D6E263f21B64De87f2392a,OP,11.59,0.8917877339
0x33D3C029FD119ebb90df20c3427a97074637Bf7c,BNB,11.70,0.8998466384
0xEe2401ECfbE551199eef0c9dD1FF6bcCEEDf5ec6,ETH,11.72,0.9015560942
0x461e76A4fE9f27605d4097A646837c32F1ccc31c,ETH,11.72,0.9015560942
0xe96bBd1E629a9a3B397da04C13041A4782Af9e13,ARB,11.72,0.9015560942
0x6FCd27e239d83b007AD5c7C828062dC8F4C7dB5a,ARB,11.72,0.9015560942
