tx_hash,from_address,to_address,timestamp,token_address,token_symbol,token_amount,block_number,day
0xae83a230951e8970a46b6bfc61c7141bd78e776a87611f712ade8f3baeb3390e,0xb7D4cc582BF137166E1499960754d32558e18440,0x9DD07fF57C0e9cA6D2009911bEE273106fe0DAf7,1679528526.0,0xDeadDeAddeAddEAddeadDEaDDEAdDeaDDeAD0000,METIS,1.0,5146477.0,
0x8463646a203e78feb58d13a549905a1904f1f2b47f2c21f93bfc524393356dfb,0x8Ea3985F053500d4526Ff36ecB5E6E589C4C5342,0x9DD07fF57C0e9cA6D2009911bEE273106fe0DAf7,1679549496.0,0xDeadDeAddeAddEAddeadDEaDDEAdDeaDDeAD0000,METIS,1.0,5147996.0,
0x6354bc9edc3e381ff16c562898599a4a07a2fed923d293763590ef0d87fa71af,0x5Ae3ee7fBB3Cb28C17e7ADc3a6Ae605ae2465091,0x9DD07fF57C0e9cA6D2009911bEE273106fe0DAf7,1679352066.0,0xEA32A96608495e54156Ae48931A7c20f0dcc1a21,METIS,2.9358539e-11,5131073.0,
0xb7adbfa4b68a048a510b40daedaf795baafc67915ca24923516dfc4cf04ec055,0x5Ae3ee7fBB3Cb28C17e7ADc3a6Ae605ae2465091,0x9DD07fF57C0e9cA6D2009911bEE273106fe0DAf7,1679360916.0,0xEA32A96608495e54156Ae48931A7c20f0dcc1a21,METIS,1.0239075e-10,5131699.0,
0xb3365a8a114fa1b77979334677d2ae2c6fcdb0c3be73edc2a1e9b6846f8456a6,0x5Ae3ee7fBB3Cb28C17e7ADc3a6Ae605ae2465091,0x9DD07fF57C0e9cA6D2009911bEE273106fe0DAf7,1679405586.0,0xEA32A96608495e54156Ae48931A7c20f0dcc1a21,METIS,2.863587091e-09,5134885.0,
0x217337f4f2cd49c749d4a61cbfb4ba1af795e53824079997be20258e1a12044f,0x5Ae3ee7fBB3Cb28C17e7ADc3a6Ae605ae2465091,0x9DD07fF57C0e9cA6D2009911bEE273106fe0DAf7,1679432376.0,0xEA32A96608495e54156Ae48931A7c20f0dcc1a21,METIS,1.06952425e-10,5137847.0,
0xba7af6da270c55a41e08218f43ba47fb3c9cf0e1558d0994f5dc648eafb0ce20,0x5Ae3ee7fBB3Cb28C17e7ADc3a6Ae605ae2465091,0x9DD07fF57C0e9cA6D2009911bEE273106fe0DAf7,1679480346.0,0xEA32A96608495e54156Ae48931A7c20f0dcc1a21,METIS,5.5230285e-11,5140517.0,
0x4d77fbd868a53dfe4be00b2ea234145ccdff04267ae5427866ef5341a0203909,0x5Ae3ee7fBB3Cb28C17e7ADc3a6Ae605ae2465091,0x9DD07fF57C0e9cA6D2009911bEE273106fe0DAf7,1679518116.0,0xEA32A96608495e54156Ae48931A7c20f0dcc1a21,METIS,4.30463e-12,5145425.0,
0xae83a230951e8970a46b6bfc61c7141bd78e776a87611f712ade8f3baeb3390e,0x5Ae3ee7fBB3Cb28C17e7ADc3a6Ae605ae2465091,0x9DD07fF57C0e9cA6D2009911bEE273106fe0DAf7,1679528526.0,0xEA32A96608495e54156Ae48931A7c20f0dcc1a21,METIS,2.7008123e-11,5146477.0,
0x8463646a203e78feb58d13a549905a1904f1f2b47f2c21f93bfc524393356dfb,0x5Ae3ee7fBB3Cb28C17e7ADc3a6Ae605ae2465091,0x9DD07fF57C0e9cA6D2009911bEE273106fe0DAf7,1679549496.0,0xEA32A96608495e54156Ae48931A7c20f0dcc1a21,METIS,2.7907804e-11,5147996.0,
0xf559b65a6cc84f4ae6986d1ec0f6bd7b11610c6b8d93910f975ad22588949d44,0xEBcC98573c3cd9b5B61900D1304DA938B5036a0d,0x9DD07fF57C0e9cA6D2009911bEE273106fe0DAf7,1679222586.0,0x420000000000000000000000000000000000000A,METIS,0.01,5118364.0,
0x0a34ff7b89c975989f29fa6d2a2b9d1f0087a002fde119974e5b36b8508473c8,0xe027880CEB8114F2e367211dF977899d00e66138,0x9DD07fF57C0e9cA6D2009911bEE273106fe0DAf7,1679184516.0,0xDeadDeAddeAddEAddeadDEaDDEAdDeaDDeAD0000,METIS,1e-06,5116039.0,
0x1f5a1e75c9670b53a9072f6ea1e184c2be2f96d7fd9243afa0cf31160a208e79,0xEBcC98573c3cd9b5B61900D1304DA938B5036a0d,0x9DD07fF57C0e9cA6D2009911bEE273106fe0DAf7,1679222496.0,0xDeadDeAddeAddEAddeadDEaDDEAdDeaDDeAD0000,METIS,1.55,5118357.0,
0x144fad8f8386bcd22134c37458d520b684e88fdadca6953be2d726d3cec8f8ca,0xcFE8cE9EecE778b1f71555b56f7FCD68B17226A4,0x9DD07fF57C0e9cA6D2009911bEE273106fe0DAf7,1679230506.0,0xDeadDeAddeAddEAddeadDEaDDEAdDeaDDeAD0000,METIS,1.0,5118968.0,
0xe05dd4be26be59cebd8f781bc83cba1934865cf7f5a517f2cc313b25bb540351,0xaE69116E4AA49645f78C1Fc9f28F677aeDE0d153,0x9DD07fF57C0e9cA6D2009911bEE273106fe0DAf7,1679244906.0,0xDeadDeAddeAddEAddeadDEaDDEAdDeaDDeAD0000,METIS,0.25,5120410.0,
0xb0169d1343837347a48e61ba01fcde0f871248b46721e453adc5a557b7f1da83,0xbD07C5a0c16fed711326174a2E6331d15EA65D24,0x9DD07fF57C0e9cA6D2009911bEE273106fe0DAf7,1679264826.0,0xDeadDeAddeAddEAddeadDEaDDEAdDeaDDeAD0000,METIS,0.08,5122728.0,
0xb39eea52083108da9b424c53b479fc261f53e12ba14a3e43f7b6f81379ccab5d,0x3E38Ef489af0E780fB1A18dB36B47EFCb6A859B5,0x9DD07fF57C0e9cA6D2009911bEE273106fe0DAf7,1679333676.0,0xDeadDeAddeAddEAddeadDEaDDEAdDeaDDeAD0000,METIS,7.0,5129380.0,
0x0a34ff7b89c975989f29fa6d2a2b9d1f0087a002fde119974e5b36b8508473c8,0x5Ae3ee7fBB3Cb28C17e7ADc3a6Ae605ae2465091,0x9DD07fF57C0e9cA6D2009911bEE273106fe0DAf7,1679184516.0,0xEA32A96608495e54156Ae48931A7c20f0dcc1a21,METIS,3e-17,5116039.0,
0x1f5a1e75c9670b53a9072f6ea1e184c2be2f96d7fd9243afa0cf31160a208e79,0x5Ae3ee7fBB3Cb28C17e7ADc3a6Ae605ae2465091,0x9DD07fF57C0e9cA6D2009911bEE273106fe0DAf7,1679222496.0,0xEA32A96608495e54156Ae48931A7c20f0dcc1a21,METIS,4.6372024e-11,5118357.0,
0xf559b65a6cc84f4ae6986d1ec0f6bd7b11610c6b8d93910f975ad22588949d44,0x5Ae3ee7fBB3Cb28C17e7ADc3a6Ae605ae2465091,0x9DD07fF57C0e9cA6D2009911bEE273106fe0DAf7,1679222586.0,0xEA32A96608495e54156Ae48931A7c20f0dcc1a21,METIS,1.7559318e-11,5118364.0,
0x144fad8f8386bcd22134c37458d520b684e88fdadca6953be2d726d3cec8f8ca,0x5Ae3ee7fBB3Cb28C17e7ADc3a6Ae605ae2465091,0x9DD07fF57C0e9cA6D2009911bEE273106fe0DAf7,1679230506.0,0xEA32A96608495e54156Ae48931A7c20f0dcc1a21,METIS,3.0014426e-11,5118968.0,
0xe05dd4be26be59cebd8f781bc83cba1934865cf7f5a517f2cc313b25bb540351,0x5Ae3ee7fBB3Cb28C17e7ADc3a6Ae605ae2465091,0x9DD07fF57C0e9cA6D2009911bEE273106fe0DAf7,1679244906.0,0xEA32A96608495e54156Ae48931A7c20f0dcc1a21,METIS,7.522966e-12,5120410.0,
0xb0169d1343837347a48e61ba01fcde0f871248b46721e453adc5a557b7f1da83,0x5Ae3ee7fBB3Cb28C17e7ADc3a6Ae605ae2465091,0x9DD07fF57C0e9cA6D2009911bEE273106fe0DAf7,1679264826.0,0xEA32A96608495e54156Ae48931A7c20f0dcc1a21,METIS,2.387676e-12,5122728.0,
0xb39eea52083108da9b424c53b479fc261f53e12ba14a3e43f7b6f81379ccab5d,0x5Ae3ee7fBB3Cb28C17e7ADc3a6Ae605ae2465091,0x9DD07fF57C0e9cA6D2009911bEE273106fe0DAf7,1679333676.0,0xEA32A96608495e54156Ae48931A7c20f0dcc1a21,METIS,2.02146501e-10,5129380.0,
