tx_hash,trove_owner,collateral_redeemed,number_of_collateral_tokens,debt,operation,timestamp,block_number
0x4ea431d86098d3f0d1cb6bdfed8b212c8fe99eb59d59d5a1074db8ee9fe64454,0x16ef04260Ca959C75bd8d4247874517c9cF74d12,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,5724138203004781562,12567500000000000000000,2,1708653222,57223516
0x6938705f7c094e9208ad9c301a1aa91f4006c76c998c104401506d16754bbf5c,0x3c5Aac016EF2F178e8699D6208796A2D67557fe2,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,538948233584770695,809000000000000000000,0,1708647003,57215256
0xc35e72132c590a401a7bb9b4339361251b91ac4562090c38e1ceadadf5ebcca2,0x3e8E36AC89A038b5b992499f8E94922E9c76E013,0x09Bc4E0D864854c6aFB6eB9A9cdF58aC190D0dF9,26242634867,21179378541790814532547,2,1708624478,57153646
0x98f72fa081131621f8bf86f26887d83ac89b9a37f345b7a0801d0f2b41a2bac8,0x3e8E36AC89A038b5b992499f8E94922E9c76E013,0x09Bc4E0D864854c6aFB6eB9A9cdF58aC190D0dF9,26242634867,21239173169753802118455,2,1708612279,57131925
0x6c9b42b73e3a6225de14d0d41dd37abdd3138ec18cc72084cef12df640cb651f,0x3e8E36AC89A038b5b992499f8E94922E9c76E013,0x09Bc4E0D864854c6aFB6eB9A9cdF58aC190D0dF9,26242634867,21267774972807875174367,2,1708609596,57125638
0x78208a85987c8aa48fcd121776b30a05149dd2ccd01b25e441ae71f978fb1df3,0x5Be66f4095f89BD18aBE4aE9d2acD5021EC433Bc,0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8,1349504683004493685984,450250000000000000000,2,1708579265,57041312
0x3eb55db34c7246446843b8e828a054656bb7437d103dd5a2e7df7acf0fdc23f6,0x3e8E36AC89A038b5b992499f8E94922E9c76E013,0x09Bc4E0D864854c6aFB6eB9A9cdF58aC190D0dF9,26242634867,21516265580354291238572,2,1708550279,56956266
0x197f370c3dbd23add69e7c869af879f174b54972099c8d584b2cd1c67485c100,0x3e8E36AC89A038b5b992499f8E94922E9c76E013,0x09Bc4E0D864854c6aFB6eB9A9cdF58aC190D0dF9,26242634867,21578314351433975134979,2,1708541491,56928495
0xd3554d4d3a770817d56bf07dc25573bda05b37d147fa17cde3037035c9e6ede7,0xbA3ee5e1ef6Ff94e408D218E04be1b739B46d178,0x201EBa5CC46D216Ce6DC03F6a759e8E766e956aE,0,0,1,1708526028,56892290
0x1630b3585337e4e5f4e5dc9fd8433f48b50bf1e1efe8e20fda921cf0bdbee54c,0x37eedb7AC276bD6c894e81B8937b0b0BAB154E22,0x09Bc4E0D864854c6aFB6eB9A9cdF58aC190D0dF9,0,0,1,1708519913,56875317
