buyer_address,total_amount_USD
0xc766d73be01caa06834032bf5c8f8f0f41a7bf36,4482.5
0x324336217a11b59769b025d60ca3791e0b9e4c7e,4412.46
0x508602e550cdcea8e430a1c802001ca02d86f8ed,4250.0
0x51d799582336b9c1a0c8b3c5588c504c20467e3d,4230.0
0xfc969bb1697b733b65e5cfcbbb250a1f9e8d5475,4225.0
0xbb8ade1a31a79422b425e876184724c209f78289,4200.0
0x798e3ef20d94b80bce7e23402b61f4937419113e,4140.5
0x40a59902e7d1d80c8f9c09ee9adfb865d017baf9,4116.0
0x153b4f4f2c6c284f844a53eb2e097d23b7bfa4dd,4055.0
0x70be2bfe60d875faad5922f2379af1a0afc8e754,3998.3999999999996
0xf278f9728551fe0d1ae6001012052d4ca7757f0e,3950.7999999999997
0x700e7d3eb1127336dc51de98a6d968d4c24167bb,3943.0
0xca72f3c23a2aad91a25d002c4bf13ed766d3846d,3919.9999999999995
0x15858fb53c8aa6a024cce669bbadcdcaddfc1ad5,3907.44
0x4db69acf5ab21de55c1dbcca93c38b5bc6835268,3906.2299999999996
0xa5b5b85f0c5209998be7aa72e17f0ae289bc71ba,3843.0
0x2462e450384ab3f89104229aabec4c5f7357efa2,3816.255
0x5a7a494d2d540717912c84d0bb956c3c3bccd675,3585.0100000000007
0xa0d4b74daf7c64cea78fb8d1f9f12f44107aa85b,3502.0
0x0b2d830f3b37df12b043c70a44b128a51a15f6bd,3499.2999999999997
0xd0392e43557dad622db230c515ede5810e085ec4,3444.0
0x22525baeebd350852913070c2ba57a6cce989c2f,3444.0
0x1160387a36953afc5d80c0ea7b6b5447774af8e5,3414.75
0xcbbbe8b6cb1d0de071728c36c29db40918f98231,3390.38
0x5b7897a5ed54642e388b9bc470912d27f18d98ce,3380.0
0xa14a711e5d6f38bccf81d703cb8a949f9a1d3cbb,3373.24
0xa3e1d1af0c2240b250ce8632dfdfae674947a538,3353.2799999999997
0x73dd41be92d5bf2ebd0182aec6f9fb9e83262206,3351.93
0x8e20118905f7a62dda3819894352602359a5ae8c,3306.6
0x709cb5d672cabab9d50250c0af982c52b1b233a1,3269.79
0xe2efa7c8a0769e91af174870dbddc2d2500c08a3,3240.0
0xb5aa18b5b83d0dd0e5b78ef72ef35d13ed731a03,3220.0
0xbfc016652a6708b20ae850ee92d2ea23cca5f31a,3192.0
